"Timestamp","Borderlands 1","Borderlands 2","Borderlands Pre-Sequel ","Borderlands 3"
"2019/08/15 9:29:43 pm GMT+3","Roland","Zer0","Athena","Fl4k"
"2019/08/15 9:29:53 pm GMT+3","Mordecai","Salvador","Jack","Moze"
"2019/08/15 9:30:05 pm GMT+3","Roland","Maya","Athena","Moze"
"2019/08/15 9:30:18 pm GMT+3","Mordecai","Maya","Nisha","Moze"
"2019/08/15 9:31:16 pm GMT+3","Lilith","Maya","Wilhelm","Amara"
"2019/08/15 9:31:21 pm GMT+3","Lilith","Maya","Nisha","Amara"
"2019/08/15 9:31:56 pm GMT+3","Lilith","Maya","Aurelia","Fl4k"
"2019/08/15 9:33:59 pm GMT+3","Brick","Zer0","Nisha","Amara"
"2019/08/15 9:34:01 pm GMT+3","Mordecai","Zer0","Claptrap","Fl4k"
"2019/08/15 9:34:15 pm GMT+3","Lilith","Maya","Nisha","Moze"
"2019/08/15 9:34:38 pm GMT+3","Mordecai","Zer0","Aurelia","Zane"
"2019/08/15 9:34:38 pm GMT+3","Lilith","Axton","Athena","Fl4k"
"2019/08/15 9:35:06 pm GMT+3","Roland","Axton","Claptrap","Fl4k"
"2019/08/15 9:36:18 pm GMT+3","Roland","Maya","Athena","Zane"
"2019/08/15 9:37:49 pm GMT+3","Brick","Salvador","Claptrap","Moze"
"2019/08/15 9:38:04 pm GMT+3","Brick","Zer0","Wilhelm","Fl4k"
"2019/08/15 9:38:12 pm GMT+3","Brick","Axton","Claptrap","Fl4k"
"2019/08/15 9:38:49 pm GMT+3","Roland","Gaige","Athena",""
"2019/08/15 9:39:20 pm GMT+3","Roland","Axton","Wilhelm","Moze"
"2019/08/15 9:39:34 pm GMT+3","Roland","Krieg","Athena","Amara"
"2019/08/15 9:39:37 pm GMT+3","Lilith","Maya","Jack","Amara"
"2019/08/15 9:39:40 pm GMT+3","Mordecai","Zer0","Athena","Zane"
"2019/08/15 9:39:48 pm GMT+3","Roland","Axton","Aurelia","Fl4k"
"2019/08/15 9:39:57 pm GMT+3","Mordecai","Maya","Jack","Fl4k"
"2019/08/15 9:41:18 pm GMT+3","Roland","Axton","Wilhelm","Moze"
"2019/08/15 9:42:32 pm GMT+3","Lilith","Maya","Athena","Amara"
"2019/08/15 9:44:37 pm GMT+3","Mordecai","Gaige","Jack","Fl4k"
"2019/08/15 9:44:46 pm GMT+3","Mordecai","Maya","","Fl4k"
"2019/08/15 9:45:53 pm GMT+3","Brick","Axton","","Zane"
"2019/08/15 9:46:50 pm GMT+3","Mordecai","Gaige","Athena","Fl4k"
"2019/08/15 9:47:29 pm GMT+3","Mordecai","Gaige","",""
"2019/08/15 9:47:41 pm GMT+3","Roland","Salvador","Jack","Zane"
"2019/08/15 9:47:57 pm GMT+3","Roland","Maya","Aurelia","Zane"
"2019/08/15 9:48:54 pm GMT+3","Brick","Krieg","Athena","Amara"
"2019/08/15 9:49:59 pm GMT+3","Lilith","Maya","Athena","Moze"
"2019/08/15 9:50:57 pm GMT+3","Lilith","Maya","Jack","Zane"
"2019/08/15 9:50:59 pm GMT+3","Lilith","Maya","Aurelia","Moze"
"2019/08/15 9:51:39 pm GMT+3","Lilith","Zer0","Claptrap","Zane"
"2019/08/15 9:52:24 pm GMT+3","Brick","Krieg","Claptrap","Fl4k"
"2019/08/15 9:52:44 pm GMT+3","Mordecai","Gaige","Claptrap",""
"2019/08/15 9:53:01 pm GMT+3","Lilith","Gaige","Jack","Zane"
"2019/08/15 9:53:29 pm GMT+3","Mordecai","Maya","Nisha","Fl4k"
"2019/08/15 9:54:20 pm GMT+3","Lilith","Gaige","","Moze"
"2019/08/15 9:56:47 pm GMT+3","Mordecai","Maya","","Fl4k"
