"id","vote_mean","budget_mean","revenue_mean","popularity_mean","popularity_sum","vote_sum","name"
51536,6.05,5e+05,232000,6.4839555,12.967911,12.1,"Agnes Bruckner"
51539,5.5,5e+05,0,1.428483,1.428483,5.5,"Gordon Currie"
51576,5.4,2500000,6116314,6.322365,12.64473,10.8,"Chuck Norris"
51583,6.3,7.5e+07,140175006,36.368839,36.368839,6.3,"Mitchel Musso"
51641,5.7,8e+06,6739141,8.708229,8.708229,5.7,"Loryn Locklin"
51670,6.8,0,34585416,14.885388,14.885388,6.8,"Johnathon Schaech"
51684,5.2,750000,0,1.471139,1.471139,5.2,"Mehcad Brooks"
51792,7.4,6900000,7993039,26.181753,26.181753,7.4,"Rory Cochrane"
51797,6.56,11700000,12209778.8,16.0810366,80.405183,32.8,"Nathan Fillion"
51798,5.925,10750000,35591885.25,25.255975,101.0239,23.7,"Katee Sackhoff"
51799,5.6,0,0,6.814247,6.814247,5.6,"Craig Fairbrass"
51812,6.7,2.5e+07,11137801,5.650125,5.650125,6.7,"Nicol Williamson"
51856,6,35500000,50738942.5,18.925555,37.85111,12,"Jenna Fischer"
51857,5.95,2.3e+07,40265008.5,12.5622675,50.24907,23.8,"Tim Meadows"
51902,7.1,0,4.4e+07,29.071955,29.071955,7.1,"Fernando Cayo"
51903,7.1,0,4.4e+07,29.071955,29.071955,7.1,"Roger Príncep"
51935,3.9,0,0,8.148187,8.148187,3.9,"Patrick J. Adams"
51936,5.6,1e+06,10047674,6.926926,6.926926,5.6,"Lindy Booth"
51944,6.1,1.1e+07,23769232.6,5.2831006,26.415503,30.5,"Mike Epps"
51965,5.5,0,0,0.087574,0.087574,5.5,"Kevin Sorbo"
51975,4.96666666666667,13333333.3333333,23828876.6666667,9.02522966666667,27.075689,14.9,"Laura Ramsey"
51976,5.4,1.3e+08,371876278,59.325589,59.325589,5.4,"D.J. Cotrona"
51988,5.92,21600000,51925374.8,35.4565306,177.282653,29.6,"Lizzy Caplan"
51989,5.8,22500000,104180748.5,31.373605,62.74721,11.6,"Jessica Lucas"
51992,5.6,20500000,123639038,31.36559,62.73118,11.2,"Odette Annable"
52018,6.5,58237500,68041900.75,47.26561625,189.062465,26,"Britt Robertson"
52021,6.4,0,0,1.161034,1.161034,6.4,"Frank Wood"
52023,6.2,2.5e+07,0,12.18362,12.18362,6.2,"Steve Railsback"
52037,7.3,3e+07,76669806,23.234651,23.234651,7.3,"Robert Ri'chard"
52049,5.83333333333333,9666666.66666667,14224662,11.0793556666667,33.238067,17.5,"Jay Chandrasekhar"
52051,6.2,10250000,18836165.5,15.3086235,30.617247,12.4,"Steve Lemme"
52052,4.76666666666667,2.4e+07,49724195,9.53547333333333,28.60642,14.3,"Jessica Simpson"
52057,6.3,1.2e+07,31155435,11.510281,11.510281,6.3,"Obba Babatundé"
52117,4.7,2e+07,8586376,7.034752,7.034752,4.7,"Horatio Sanz"
52119,5,5e+05,0,0.046903,0.046903,5,"Megan Mullally"
52139,6.1,39333333.3333333,255463634.333333,56.8066993333333,170.420098,18.3,"Seth MacFarlane"
52262,3.7,3e+07,84646831,10.608998,10.608998,3.7,"Sean Maguire"
52288,6.8,1,0,0.077876,0.077876,6.8,"Jim Byrnes"
52300,6.7,1.2e+08,186053725,51.548589,51.548589,6.7,"Claudia Christian"
52313,5.9,4e+07,19322135,15.590001,15.590001,5.9,"Eileen Essell"
52374,5.85,7250000,9047502.5,10.317211,20.634422,11.7,"Bruce Davison"
52396,4.7,5e+06,0,3.05434,3.05434,4.7,"Stefanie von Pfetten"
52404,6.2,14250000,89604317,30.0534915,60.106983,12.4,"Mae Whitman"
52414,6.2,18375000,16340930,17.97912925,71.916517,24.8,"Cameron Bright"
52419,6.35,33500000,60669969.5,21.2789645,42.557929,12.7,"Josh Hamilton"
52420,6,0,0,0.145014,0.145014,6,"John Newton"
52442,5.7,4e+07,52832264,40.5013775,81.002755,11.4,"Olivia Thirlby"
52474,6.075,12975000,10134605,8.788302,35.153208,24.3,"Jason London"
52475,5.7,1.2e+07,0,4.63093,4.63093,5.7,"J. Smith-Cameron"
52483,5.8,3e+06,0,9.249229,9.249229,5.8,"Rus Blackwell"
52564,7.9,2.5e+07,77208711,37.817905,37.817905,7.9,"Dillon Freasier"
52583,7.1,2e+06,0,13.10815,26.2163,14.2,"Wagner Moura"
52584,7.8,4e+06,0,23.604936,23.604936,7.8,"Caio Junqueira"
52585,7.8,4e+06,0,23.604936,23.604936,7.8,"André Ramiro"
52601,5.95,37500000,115095901.5,22.945652,45.891304,11.9,"Sean Hayes"
52602,3.9,5e+06,846704,1.731035,1.731035,3.9,"Rob Morrow"
52605,5.68,16800000.8,18702046,9.2920112,46.460056,28.4,"Eva Longoria"
52615,6.4,6e+05,0,10.861167,10.861167,6.4,"Marilyn Joi"
52647,5.6,7e+06,7292175,2.627232,2.627232,5.6,"Shawn Hatosy"
52699,6,3e+07,254134910,34.36645,34.36645,6,"Danny Mann"
52708,5.9,1.5e+07,1.2e+07,8.113634,8.113634,5.9,"Andy Davoli"
52763,6.9,1100000,6015561.5,3.226925,6.45385,13.8,"Aamir Khan"
52776,5.3,2e+06,841733,1.699101,1.699101,5.3,"Dagmara Domińczyk"
52783,5.3,930000,30905,5.974156,5.974156,5.3,"Rachel Bilson"
52792,6.5,26500000,101259414.333333,18.3942493333333,55.182748,19.5,"Maya Rudolph"
52794,7.4,1e+07,12827813,18.366362,18.366362,7.4,"David Herman"
52847,6.13333333333333,19333333.3333333,36363097,12.243021,36.729063,18.4,"Joy Bryant"
52848,6.06666666666667,4.6e+07,90668986,19.0586456666667,57.175937,18.2,"Isla Fisher"
52849,5.9,7.5e+07,875958308,31.482872,31.482872,5.9,"Louis C.K."
52851,5.96,30210000,78487883,18.3145887,183.145887,59.6,"Paula Patton"
52852,6.08,16180000,26486769.4,13.1135882,65.567941,30.4,"Kat Dennings"
52854,3.6,2e+07,48548426,10.098722,10.098722,3.6,"Sophie Monk"
52860,7.1,0,6003587,7.792851,7.792851,7.1,"Judah Friedlander"
52865,5.85,7e+07,171698623.5,19.3011905,38.602381,11.7,"Garry Shandling"
52869,5.8,1.4e+07,85446075,21.680424,21.680424,5.8,"Madison Davenport"
52886,5.83333333333333,20333333.3333333,37673418.3333333,11.6088146666667,34.826444,17.5,"Jeffrey Donovan"
52890,6,0,0,9.451228,9.451228,6,"Richard Coyle"
52929,5,2.8e+07,58795814,11.859396,11.859396,5,"Angie Harmon"
52933,5.1,6500000,13368437,11.885221,11.885221,5.1,"Timm Sharp"
52938,6.3,0,0,9.750557,9.750557,6.3,"Vanessa Lengies"
52969,6.8,0,10422387,2.787375,2.787375,6.8,"Lisa Ray"
52970,6.8,0,10422387,2.787375,2.787375,6.8,"Sarala"
52971,6.8,0,10422387,2.787375,2.787375,6.8,"John Abraham"
52995,6.1,4.4e+07,53441158,13.8735553333333,41.620666,18.3,"Edward Herrmann"
52997,5.5,32500000,69388516.25,35.33220575,141.328823,22,"Rob Corddry"
53055,6.5,7e+05,4911725,12.378031,12.378031,6.5,"Jeff Lima"
53056,6.5,7e+05,4911725,12.378031,12.378031,6.5,"Shareeka Epps"
53240,7.3,4733843,21483608.5,54.8202685,109.640537,14.6,"Riz Ahmed"
53257,6.3,1.2e+07,81272766,21.958055,21.958055,6.3,"Emilio Rivera"
53258,7.2,2.5e+07,115922175,32.105328,32.105328,7.2,"David Banner"
53283,6.06666666666667,15333333.3333333,262747258.666667,32.5054673333333,97.516402,18.2,"Jonathan Taylor Thomas"
53336,5.63333333333333,42333333.3333333,103370874.333333,28.6925523333333,86.077657,16.9,"Brandon T. Jackson"
53367,7,8500000,9062131,5.0540375,10.108075,14,"Ruth Sheen"
53368,5.5,2e+07,80346329,13.6505365,27.301073,11,"Scott Porter"
53372,6.6,0,528972,1.246883,1.246883,6.6,"Nandita Das"
53373,6.6,0,528972,1.246883,1.246883,6.6,"Maia Sethna"
53397,6.9,5.5e+07,89519773,22.863516,22.863516,6.9,"Christina Aguilera"
53431,6.8,0,0,4.554574,4.554574,6.8,"Nadine Labaki"
53442,6.8,0,0,4.554574,4.554574,6.8,"Yasmine Al Massri"
53443,6.8,0,0,4.554574,4.554574,6.8,"Joanna Moukarzel"
53480,7.55,1e+07,36638023.5,7.6694625,15.338925,15.1,"Khalid Abdalla"
53481,7.3,2e+07,73276047,10.446722,10.446722,7.3,"Atossa Leoni"
53492,4.5,2e+07,4634062,10.617236,10.617236,4.5,"Sam Huntington"
53493,5.56,10650000,34886886.2,10.905939,54.529695,27.8,"Kal Penn"
53570,5.6,2.5e+07,80936232,12.739721,12.739721,5.6,"Megan Cavanagh"
53647,6.2,5e+06,368744044,18.115566,18.115566,6.2,"Lainie Kazan"
53650,5.88571428571429,33685714.2857143,43791866.1428571,23.2221525714286,162.555068,41.2,"Anthony Mackie"
53651,4.9,0,0,0.459625,0.459625,4.9,"Monique Gabriela Curnen"
53672,7.2,2200000,11502151,5.206967,5.206967,7.2,"Soha Ali Khan"
53673,7.2,2200000,11502151,5.206967,5.206967,7.2,"Alice Patten"
53714,6.84705882352941,3.1e+07,108478377.117647,35.6908494705882,606.744441,116.4,"Rachel McAdams"
53761,6.7,7e+06,4720371,2.206097,2.206097,6.7,"Christopher Gorham"
53768,5.7,9e+06,2500000,14.171759,14.171759,5.7,"Anita Pallenberg"
53807,6.22,87700000,83463021.4,31.6827718,158.413859,31.1,"Armie Hammer"
53820,5.6,5e+07,40828540,27.631262,27.631262,5.6,"Michael C. Hall"
53828,5.5,1.2e+07,40855419,8.083995,8.083995,5.5,"Jennifer Carpenter"
53862,5.5,6.3e+07,183953723,16.791058,16.791058,5.5,"Kaley Cuoco"
53887,7,0,0,9.719094,9.719094,7,"Brandon Ratcliff"
53922,3.5,0,0,2.394613,2.394613,3.5,"Ed Quinn"
