"endTime","artistName","trackName","msPlayed"
"2019-01-04 08:17:00","Queens of the Stone Age","No One Knows",278746
"2019-01-04 08:22:00","Queens of the Stone Age","The Way You Used to Do",274281
"2019-01-04 08:26:00","Queens of the Stone Age","I Sat By The Ocean",235586
"2019-01-04 08:29:00","Queens of the Stone Age","Go With The Flow",187146
"2019-01-04 08:35:00","Queens of the Stone Age","Feet Don't Fail Me",341824
"2019-01-04 08:36:00","Queens of the Stone Age","No One Knows",56563
"2019-01-05 12:06:00","Paul McCartney","Say Say Say - Remastered 2015",121799
"2019-01-05 12:23:00","Paul McCartney","Say Say Say - Remastered 2015",109811
"2019-01-05 12:25:00","Arctic Monkeys","Dancing Shoes",141133
"2019-01-05 12:27:00","Arctic Monkeys","You Probably Couldn't See For The Lights But You Were Staring Straight At Me",43349
"2019-01-05 12:34:00","Arctic Monkeys","A Certain Romance",331200
"2019-01-05 12:35:00","Pharoahe Monch","Simon Says",55896
"2019-01-05 12:40:00","Macklemore & Ryan Lewis","Can't Hold Us - feat. Ray Dalton",258342
"2019-01-05 18:51:00","Blakroc feat. Nicole Wray & NOE","Done Did It",228207
"2019-01-05 18:55:00","Blakroc feat. Jim Jones & Mos Def","Ain't Nothing Like You (Hoochie Coo)",199040
"2019-01-05 18:58:00","Blakroc feat. Jim Jones & Mos Def","Ain't Nothing Like You (Hoochie Coo)",199040
"2019-01-05 19:00:00","Blakroc feat. Billy Danze, Nicole Wray & Q-Tip","Hope You're Happy",131240
"2019-01-05 19:04:00","Blakroc feat. RZA","Tellin' Me Things",149841
"2019-01-05 19:21:00","The Black Keys","Lonely Boy",18760
"2019-01-05 19:25:00","The Black Keys","Everlasting Light",204626
"2019-01-05 19:28:00","The Black Keys","Next Girl",198266
"2019-01-05 19:31:00","The Black Keys","Tighten Up",211040
"2019-01-05 19:35:00","The Black Keys","Howlin' For You",191800
"2019-01-05 19:38:00","The Black Keys","She's Long Gone",185973
"2019-01-05 19:40:00","The Black Keys","Black Mud",129453
"2019-01-05 20:23:00","The Black Keys","The Only One",186810
"2019-01-06 10:55:00","Electric Light Orchestra","Ticket to the Moon",247400
"2019-01-06 10:58:00","The Kooks","Bad Habit",214390
"2019-01-06 11:03:00","The Black Keys","I Got Mine - Live 6music Hub Session",286508
"2019-01-06 11:05:00","The Black Keys","Howlin' For You - Live",70301
"2019-01-06 11:42:00","The Black Keys","She's Long Gone - Live",103623
"2019-01-06 12:32:00","Apoptygma Berzerk","Burning Heretic (Cycles Of Absolute Truths Mix by Ancient Methods)",54560
"2019-01-06 17:17:00","The Black Keys","Too Afraid To Love",204733
"2019-01-06 17:21:00","The Black Keys","Ten Cent Pistol",269306
"2019-01-06 17:25:00","The Black Keys","Sinister Kid",224533
"2019-01-06 18:22:00","The Black Keys","The Go Getter",144956
"2019-01-06 18:28:00","Queen","Bohemian Rhapsody - 2011 Mix",354320
"2019-01-06 18:32:00","Queen","Another One Bites The Dust - Remastered 2011",214653
"2019-01-06 18:36:00","Queen","Don't Stop Me Now - 2011 Mix",209413
"2019-01-06 18:39:00","The Clash","The Guns of Brixton - Remastered",192440
"2019-01-06 18:40:00","Talking Heads","The Great Curve - 2005 Remaster",40380
"2019-01-06 18:44:00","The Kooks","Bad Habit",221413
"2019-01-06 18:47:00","Arctic Monkeys","Stop The World I Wanna Get Off With You",191040
"2019-01-06 18:47:00","Foals","Hummer",20110
"2019-01-06 18:51:00","The Kooks","All the Time",246736
"2019-01-06 18:56:00","The Kooks","Believe",254341
"2019-01-06 18:57:00","The Kooks","Fractured and Dazed",66001
"2019-01-06 19:01:00","The Kooks","All the Time",246736
"2019-01-06 19:05:00","The Kooks","Believe",254341
"2019-01-06 19:06:00","The Kooks","Fractured and Dazed",41221
"2019-01-06 19:10:00","Unknown Mortal Orchestra","So Good at Being in Trouble",230146
"2019-01-06 21:28:00","The Doors","Love Me Two Times",10565
"2019-01-06 21:32:00","The Doors","Love Me Two Times",195106
"2019-01-06 21:37:00","Grizzly Bear","Two Weeks",27373
"2019-01-06 21:37:00","Them Crooked Vultures","No One Loves Me and Neither Do I",310376
"2019-01-07 01:07:00","Simon & Garfunkel","Bridge Over Troubled Water",456919
